name,address,date,time
Three Pines Coffee,"""165 S Main St, Salt Lake City, UT 84111""",7/6/2025,9:00 AM
Loki Coffee,"""325 E 900 S, Salt Lake City, UT 84111""",8/31/2025,9:00 AM
Publik Coffee Roasters,"""975 S W Temple St, Salt Lake City, UT 84101""",9/7/2025,9:00 AM
Rawbean Coffee,"""611 W Temple, Salt Lake City, UT 84101""",9/14/2025,9:00 AM
Coffee Garden,"""878 E 900 S, Salt Lake City, UT 84105""",9/21/2025,9:00 AM
Sugar House Coffee,"2011 S 1100 E, Salt Lake City, UT 84106",9/28/2025,9:00 AM
Alchemy Coffee,"""390 E 1700 S, Salt Lake City, UT 84115""",10/5/2025,9:00 AM
Salt Lake Coffee Break,"""430 E 400 S, Salt Lake City, UT 84111""",10/12/2025,9:00 AM
,,,
